0.00	0.000
0.15	0.000
0.30	0.000
0.45	0.000
0.60	0.000
0.75	0.005
0.90	0.005
1.05	0.009
1.21	0.005
1.36	0.009
1.51	0.009
1.66	0.009
1.81	0.014
1.96	0.014
1.96	0.014
2.11	0.014
2.26	0.014
2.41	0.018
2.56	0.023
2.71	0.023
2.86	0.023
3.01	0.027
3.16	0.027
3.32	0.027
3.47	0.027
3.62	0.027
3.77	0.032
3.92	0.037
4.07	0.032
4.22	0.037
4.67	0.041
4.97	0.046
5.27	0.046
5.58	0.050
5.73	0.050
6.18	0.059
6.33	0.059
6.63	0.059
6.93	0.069
7.23	0.069
7.38	0.073
7.69	0.073
7.99	0.078
8.29	0.082
8.44	0.087
8.89	0.091
9.04	0.091
9.34	0.096
9.49	0.101
9.95	0.105
10.10	0.110
10.25	0.110
10.55	0.114
10.85	0.119
11.00	0.123
11.30	0.128
11.45	0.133
11.75	0.137
12.06	0.142
12.21	0.146
12.51	0.151
12.66	0.160
12.96	0.160
13.11	0.165
13.26	0.169
13.56	0.174
13.86	0.183
14.01	0.187
14.32	0.192
14.47	0.197
14.77	0.201
14.92	0.206
15.07	0.210
15.37	0.215
15.52	0.219
15.67	0.247
15.97	0.247
16.12	0.251
16.43	0.261
16.58	0.265
16.73	0.270
17.03	0.274
17.18	0.279
17.33	0.283
17.48	0.288
17.63	0.293
17.93	0.297
18.23	0.306
18.38	0.311
18.54	0.315
18.84	0.320
18.99	0.329
19.14	0.334
19.29	0.334
19.59	0.343
19.74	0.347
19.89	0.352
20.04	0.357
20.19	0.361
20.49	0.370
20.64	0.375
20.80	0.379
20.95	0.384
21.10	0.389
21.25	0.393
21.40	0.398
21.55	0.402
21.85	0.443
22.00	0.453
22.15	0.457
22.30	0.462
22.45	0.471
22.60	0.475
22.91	0.485
23.21	0.498
23.51	0.507
23.66	0.526
23.81	0.539
24.11	0.544
24.26	0.549
24.41	0.553
24.56	0.558
24.86	0.562
25.02	0.567
25.17	0.571
25.32	0.581
25.62	0.585
25.77	0.594
25.92	0.649
26.07	0.649
26.37	0.658
26.52	0.658
26.67	0.667
26.97	0.672
27.12	0.677
27.43	0.681
27.58	0.681
27.73	0.690
27.88	0.695
28.18	0.699
28.33	0.704
28.63	0.709
28.78	0.713
28.93	0.718
29.23	0.722
29.39	0.731
29.54	0.731
29.69	0.741
29.99	0.745
30.14	0.750
30.29	0.754
30.44	0.759
30.74	0.763
30.89	0.773
31.04	0.777
31.19	0.782
31.34	0.786
31.49	0.795
31.65	0.800
31.95	0.805
32.10	0.809
32.25	0.818
32.40	0.823
32.70	0.827
32.85	0.832
33.15	0.846
33.30	0.850
33.45	0.859
33.76	0.859
33.91	0.864
34.06	0.869
34.21	0.878
34.51	0.882
34.66	0.887
34.81	0.891
35.11	0.896
35.26	0.901
35.71	0.910
36.17	0.919
36.47	0.933
36.92	0.946
37.37	0.960
37.82	0.974
38.13	0.983
38.58	0.997
39.03	1.010
39.33	1.024
39.78	1.033
40.08	1.047
40.54	1.061
40.84	1.070
41.29	1.083
41.59	1.097
42.04	1.106
42.50	1.120
42.95	1.129
43.25	1.143
43.70	1.157
44.15	1.170
44.45	1.184
44.76	1.193
45.21	1.202
45.51	1.216
45.96	1.230
46.41	1.239
46.71	1.257
47.17	1.266
47.62	1.280
47.92	1.294
48.37	1.303
48.67	1.317
49.13	1.326
49.58	1.339
50.03	1.349
50.33	1.362
50.78	1.371
51.08	1.385
51.54	1.399
51.84	1.413
52.44	1.481
53.04	1.490
53.65	1.499
54.10	1.513
54.55	1.527
55.15	1.541
55.61	1.550
56.06	1.563
56.51	1.577
56.96	1.591
57.26	1.605
57.72	1.618
58.17	1.632
58.62	1.646
59.07	1.655
59.52	1.669
59.83	1.687
60.28	1.701
60.58	1.714
61.03	1.728
61.33	1.742
61.63	1.755
61.93	1.774
62.39	1.787
62.69	1.801
62.99	1.815
63.44	1.829
63.89	1.847
64.20	1.856
64.50	1.870
64.80	1.883
65.10	1.893
65.40	1.911
65.85	1.925
66.00	1.938
66.31	1.957
66.61	1.970
66.91	1.984
67.06	1.998
67.51	2.011
67.81	2.021
68.26	2.034
68.57	2.048
68.87	2.062
69.17	2.071
69.47	2.085
69.62	2.103
70.07	2.121
70.37	2.135
70.68	2.149
70.98	2.162
71.28	2.176
71.73	2.190
71.88	2.208
72.18	2.217
72.63	2.235
72.78	2.249
73.24	2.263
73.54	2.281
73.84	2.295
74.14	2.309
74.44	2.322
74.74	2.341
75.05	2.354
75.35	2.368
75.65	2.382
75.95	2.395
76.10	2.409
76.40	2.533
76.85	2.551
77.46	2.560
77.91	2.574
78.51	2.587
78.81	2.606
79.26	2.619
79.57	2.633
80.02	2.647
80.32	2.661
80.62	2.674
80.92	2.688
81.22	2.702
81.53	2.715
81.83	2.725
82.28	2.743
82.43	2.757
82.73	2.775
83.03	2.789
83.33	2.798
83.63	2.816
83.79	2.825
84.09	2.843
84.39	2.857
84.69	2.871
84.99	2.889
85.14	2.903
85.44	2.917
85.59	2.935
86.05	2.949
86.20	2.967
86.50	2.985
86.65	3.003
86.95	3.017
87.10	3.035
87.40	3.049
87.55	3.063
87.85	3.077
88.16	3.095
88.31	3.104
88.61	3.118
88.91	3.131
89.06	3.150
89.36	3.163
89.51	3.182
89.81	3.195
90.11	3.205
90.27	3.223
90.57	3.241
90.87	3.255
91.02	3.269
91.32	3.282
91.47	3.296
91.77	3.314
92.07	3.328
92.22	3.342
92.53	3.360
92.68	3.378
92.98	3.397
93.13	3.410
93.43	3.424
93.58	3.438
93.88	3.451
94.03	3.470
94.18	3.483
94.33	3.497
94.48	3.515
94.79	3.529
94.94	3.543
95.24	3.561
95.39	3.579
95.69	3.593
95.99	3.611
96.14	3.625
96.29	3.643
96.44	3.657
96.59	3.675
96.75	3.694
96.90	3.730
97.05	3.744
97.20	3.758
97.50	3.771
97.80	3.790
97.95	3.822
98.10	3.835
98.40	3.854
98.55	3.867
98.70	3.886
98.85	3.904
99.16	3.922
99.31	3.936
99.61	3.954
99.76	3.963
99.91	3.982
100.06	3.995
100.36	4.014
100.66	4.027
100.81	4.041
100.96	4.059
101.12	4.073
101.42	4.091
101.72	4.110
101.87	4.123
102.17	4.142
102.32	4.160
102.62	4.384
103.07	4.402
103.53	4.416
103.83	4.430
104.28	4.448
104.58	4.462
104.88	4.475
105.18	4.489
105.49	4.503
105.94	4.521
106.24	4.539
106.39	4.553
106.84	4.567
106.99	4.585
107.44	4.599
107.75	4.613
107.90	4.631
108.05	4.649
108.35	4.663
108.50	4.681
108.80	4.695
109.10	4.713
109.25	4.727
109.55	4.745
109.70	4.759
110.01	4.773
110.16	4.786
110.31	4.805
110.61	4.823
110.76	4.837
110.91	4.855
111.06	4.869
111.36	4.887
111.51	4.905
111.81	4.919
111.97	4.937
112.27	4.955
112.42	4.974
112.57	4.987
112.87	5.006
113.02	5.019
113.32	5.038
113.47	5.056
113.62	5.070
113.77	5.088
113.92	5.106
114.23	5.120
114.38	5.129
114.53	5.147
114.68	5.161
114.98	5.179
115.13	5.198
115.43	5.216
115.58	5.230
116.03	5.253
116.79	5.280
117.39	5.312
117.99	5.349
118.60	5.381
119.05	5.417
119.20	5.454
119.80	5.490
119.95	5.522
120.40	5.559
120.86	5.595
121.31	5.627
121.76	5.659
122.06	5.691
122.51	5.723
122.97	5.760
123.42	5.792
123.87	5.824
124.47	5.861
124.92	5.888
125.38	5.925
125.83	5.952
126.13	5.989
126.58	6.025
127.19	6.299
127.94	6.331
128.69	6.363
129.29	6.391
129.90	6.423
130.65	6.455
131.25	6.491
131.86	6.519
132.46	6.551
132.91	6.583
133.51	6.610
133.97	6.642
134.57	6.674
135.02	6.706
135.47	6.738
135.93	6.775
136.38	6.802
136.98	6.834
137.28	6.866
137.73	6.898
138.19	6.926
138.64	6.953
139.09	6.990
139.39	7.022
139.84	7.054
140.30	7.086
140.60	7.118
141.05	7.150
141.50	7.182
141.80	7.214
142.25	7.246
142.71	7.278
143.16	7.310
143.46	7.355
143.91	7.387
144.21	7.419
144.67	7.451
144.97	7.483
145.42	7.511
145.87	7.543
146.32	7.575
146.62	7.607
147.08	7.639
147.53	7.671
147.98	7.698
148.28	7.739
148.73	7.776
149.19	7.803
149.49	7.840
149.94	7.867
150.39	7.899
150.84	7.931
151.15	7.968
151.60	8.000
151.90	8.032
152.35	8.064
152.80	8.096
153.41	8.347
153.86	8.375
154.61	8.402
155.21	8.430
155.82	8.462
156.27	8.494
156.87	8.526
157.32	8.558
157.93	8.590
158.53	8.626
158.98	8.654
159.43	8.686
159.89	8.713
160.49	8.745
160.94	8.773
161.39	8.800
161.84	8.832
162.30	8.859
162.60	8.891
163.05	8.923
163.50	8.951
163.95	8.983
164.41	9.010
164.86	9.042
165.16	9.074
165.61	9.106
165.91	9.129
166.21	9.161
166.67	9.193
167.12	9.225
167.57	9.257
167.87	9.289
168.32	9.317
168.63	9.349
169.08	9.376
169.38	9.403
169.68	9.431
170.13	9.463
170.43	9.495
170.89	9.522
171.19	9.559
171.49	9.591
171.94	9.623
172.39	9.655
172.69	9.682
173.00	9.710
173.15	9.742
173.60	9.774
173.90	9.806
174.20	9.833
174.65	9.870
174.95	9.897
175.41	9.925
175.71	9.952
176.01	9.984
176.16	10.016
176.46	10.043
176.31	10.062
176.46	10.272
177.06	10.304
177.67	10.331
178.27	10.363
178.87	10.395
179.32	10.423
179.78	10.455
180.23	10.482
180.83	10.510
181.28	10.537
181.74	10.565
182.19	10.597
182.64	10.629
183.09	10.665
183.39	10.697
183.85	10.729
184.30	10.757
184.75	10.789
185.05	10.816
185.50	10.848
185.80	10.880
186.26	10.907
186.56	10.935
187.01	10.967
187.31	10.999
187.61	11.026
187.91	11.063
